userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	size
1	3963	TP53	3.10148871451885	2.97819050378295	68	1	344	703	703	349	8	6313	2212	TP53 MCF7 (Invasive ductal breast carcinoma) TP53	MCF7 (Invasive ductal breast carcinoma)	BTO:0000093	TP53	irradiation 7.5h	GTRD	EXP036829_MCF7--Invasive-ductal-breast-carcinoma-_TP53_MACS_TP53_MA0106.3.damo.pwm.bed	3579
1	3970	TP53	2.87784896227276	1.91777870593751	131	2	430	328	430	253	24	6250	2196	TP53 HCT-116 (colon carcinoma) TP53	HCT-116 (colon carcinoma)	BTO:0001109	TP53	Nutlin	GTRD	EXP037747_HCT-116--colon-carcinoma-_TP53_MACS_TP53_MA0106.3.damo.pwm.bed	8401
1	4020	TP53	2.51883251579435	3.03163499021057	52	3	343	921	921	422	6	6329	2214	TP53 HCT-116 (colon carcinoma) TP53	HCT-116 (colon carcinoma)	BTO:0001109	TP53	5FU	GEO	GSE58506_tp53_hct166-5fu_MACS_TP53_MA0106.3.damo.pwm.bed	2600
1	4039	TP63	2.37266310097239	1.33280233473221	422	4	748	33	748	262	112	5959	2108	TP63 MCF10A (breast epithelial cells) TP63	MCF10A (breast epithelial cells)	BTO:0001939	TP63	Treatment: DMSO for 6 hrs;	GTRD	EXP057961_MCF10A--breast-epithelial-cells-_TP63_MACS_TP63_MA0525.2.damo.pwm.bed	26768
1	1435	ESR1	2.16418043444388	1.75308483526301	115	5	454	388	454	282	23	6266	2197	ESR1 ZR-75-1 (invasive ductal carcinoma) ESR1	ZR-75-1 (invasive ductal carcinoma)	BTO:0003136	ESR1	E2	GEO	GSE72249_esr1_zr751-e2_MACS_ESR1_MA0112.3.damo.pwm.bed	22135
1	3978	TP53	2.10112680730694	3.31875430082409	38	6	334	1238	1238	526	4	6343	2216	TP53 PHA-simulated human T-lynphocytes TP53	PHA-simulated human T-lynphocytes	NULL	TP53	Treatment: 0.3 ug/ml Doxorubicin for 24 hrs Source: healthy volunteer #45	GTRD	EXP048267_PHA-simulated-human-T-lynphocytes_TP53_MACS_TP53_MA0106.3.damo.pwm.bed	4710
1	3951	TP53	2.0766742763202	Inf	16	7	1	2127	2127	712	0	6365	2220	TP53 U2OS (osteosarcoma) TP53	U2OS (osteosarcoma)	BTO:0001938	TP53	UV_16H	Array Express	ERP004176_tp53_u2os-uv-16h_MACS_TP53_MA0106.3.damo.pwm.bed	1275
1	3213	PAX5	1.98425122425395	4.71202789533305	27	8	324	1564	1564	632	2	6354	2218	PAX5 GM12878 (female B-cells lymphoblastoid cell line) PAX5	GM12878 (female B-cells lymphoblastoid cell line)	NULL	PAX5		ENCODE	ENCSR000BHD_GM12878_PAX5_MACS_PAX5_MA0014.3.damo.pwm.bed	41397
1	4051	TP63	1.96266139038884	1.2270626197168	620	9	863	5	863	292	179	5761	2041	TP63 keratinocytes TP63	keratinocytes	NULL	TP63	D2	GEO	GSE59824_tp63_keratinocyte-d2_MACS_TP63_MA0525.2.damo.pwm.bed	44767
1	3997	TP53	1.89331520747024	2.13300402139844	61	10	392	785	785	396	10	6320	2210	TP53 IMR90 (lung fibroblasts) TP53	IMR90 (lung fibroblasts)	NULL	TP53	Treatment: nutlin3a (5uM final) for 6hrs; Passage: 30-35;	GTRD	EXP054820_IMR90--lung-fibroblasts-_TP53_MACS_TP53_MA0106.3.damo.pwm.bed	4223
1	3957	TP53	1.89078699332948	3.60748174912832	31	11	329	1439	1439	593	3	6350	2217	TP53 BJ (fibroblasts) TP53	BJ (fibroblasts)	NULL	TP53	ionizing radiation	GTRD	EXP032954_BJ--fibroblasts-_TP53_MACS_TP53_MA0106.3.damo.pwm.bed	1723
1	4002	TP53	1.87488734390658	1.50758890356543	159	12	575	256	575	281	37	6222	2183	TP53 SaOS2 (osteosarcoma) TP53	SaOS2 (osteosarcoma)	BTO:0000971	TP53		GEO	GSE15780_tp53_saos_MACS_TP53_MA0106.3.damo.pwm.bed	20246
